ACC_NAME_TH,ACC_NAME_EN,ACCOM_TYPE_NAME,ACC_ROOM,ACC_HILIGHT,ACC_HIGH_RATE,ACC_LOW_RATE,ACC_ROAD,REGION_NAME_TH,SUBDISTRICT_NAME_TH,DISTRICT_NAME_TH,PROVINCE_NAME_TH,ACC_LOCATION,Latitude,Longitude,ACC_STANDARD,ACC_LOCATION_1
ป่าตอง ลอดจ์,Patong Lodge,โรงแรม,130,,5000,1000,พระบารมี,ภาคใต้,ป่าตอง,กะทู้,ภูเก็ต,"7.910148100000001, 98.2967161",7.9101481,98.2967161,6,"7.910148100000001, 98.2967161"
นาคา เรสซิเดนซ์,(Naka Residence),โรงแรม,43,,1100,1100,เจ้าฟ้าตะวันตก,ภาคใต้,วิชิต,เมืองภูเก็ต,ภูเก็ต,"7.8838091, 98.3645231",7.8838289,98.3645011,6,"7.8838091, 98.3645231"
ซันนี่ โฮสเทล,Sunny Hostel Phuket,เกสท์เฮ้าส์,11,,850,550,,ภาคใต้,ตลาดเหนือ,เมืองภูเก็ต,ภูเก็ต,"7.8864537, 98.3873121",7.8864859,98.3873059,6,"7.8864537, 98.3873121"
เดอะ โทแปซ เรซิเดนซ์,(The Topaz Residence),อพาร์ทเมนท์/แมนชั่น,72,,1200,1200,พัฒนา,ภาคใต้,ตลาดเหนือ,เมืองภูเก็ต,ภูเก็ต,"7.8815266, 98.3817392",7.8815266,98.3817392,6,"7.8815266, 98.3817392"
เพียว ภูเก็ต เรสซิเดนซ์,Pure Phuket Residence,เซอร์วิส อพาร์ทเมนท์,45,,670,500,เจ้าฟ้า,ภาคใต้,ตลาดเหนือ,เมืองภูเก็ต,ภูเก็ต,"7.8784722, 98.3816289",7.8786373,98.3816307,6,"7.8784722, 98.3816289"
รุ่งระวี แมนชั่น,Rungrawee Mansion,อพาร์ทเมนท์/แมนชั่น,30,,500,500,เยาวราช,ภาคใต้,ตลาดใหญ่,เมืองภูเก็ต,ภูเก็ต,"13.65689, 100.6185672",13.65689,100.6185672,6,"13.65689, 100.6185672"
ฟุตฟิตโฟไฟ  อินน์,,โมเต็ล,40,,500,220,แสงชูโต,ภาคกลาง,ท่ามะขาม,เมืองกาญจนบุรี,กาญจนบุรี,"14.0405117, 99.51766579999999",14.0404011,99.5175377,,"14.0405117, 99.51766579999999"
รอยัล ปริ๊นเซส หลานหลวง,Royal Princess Lanluang,โรงแรม,167,,7500,1500,หลานหลวง,ภาคกลาง,วัดโสมนัส,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,"13.757256, 100.512867",13.757256,100.512867,4,"13.757256, 100.512867"
หนุ่มเกสเฮ้าส์,Noom Guesthouse,เกสท์เฮ้าส์,8,,600,200,พระยากำจัด,ภาคกลาง,ท่าหิน,เมืองลพบุรี,ลพบุรี,"14.8004208, 100.6140252",14.8004208,100.6140252,1,"14.8004208, 100.6140252"
อุทยานแห่งชาติน้ำตกสามหลั่น,,บ้านพักอุทยาน/ทีพักของหน่วยราชการ,9,,2400,600,,ภาคกลาง,หนองปลาไหล,เมืองสระบุรี,สระบุรี,"14.4407444, 100.9596264",14.4399813,100.9596166,,"14.4407444, 100.9596264"
เดอะเกรทอินน์ by พฤกษาสิริวิว พระพุทธบาท,The great inn by Phrueksa Siri view,โรงแรม,40,,690,450,พหลโยธิน,ภาคกลาง,พระพุทธบาท,พระพุทธบาท,สระบุรี,"14.5080277, 100.9099101",14.5080415,100.9099541,,"14.5080277, 100.9099101"
ศุภาลัย ป่าสัก รีสอร์ท แอนด์ สปา,Supalai Pasak Resort Hotel & Spa,รีสอร์ท,230,โรงแรมขนาดใหญ่ สถานที่กว้างขวาง มีสระะว่ายน้ำ สิ่งอำนวยความสะดวกครบครัน สามารถรองรับการจัดเลี้ยง งานสังสรรค์ งานสัมนาขนาดใหญ่ได้,2450,1500,,ภาคกลาง,ท่าคล้อ,แก่งคอย,สระบุรี,"14.6923, 101.0485382",14.6923,101.0485382,,"14.6923, 101.0485382"
ศูนย์ศึกษาธรรมชาติและท่องเที่ยวเชิงนิเวศเจ็ดคดโป่งก้อนเส้า,,บ้านพักอุทยาน/ทีพักของหน่วยราชการ,39,,1000,800,,ภาคกลาง,ท่ามะปราง,แก่งคอย,สระบุรี,"14.4938738, 101.1616048",14.4938521,101.1617225,,"14.4938738, 101.1616048"
เชอโคว์ เชอโคว์ โฮมสเตย์,Cherco Cherco Homestay,โฮมสเตย์/เรือนพักแรม,9,,2000,500,ต้นผึ้ง,ภาคกลาง,หนองลู,สังขละบุรี,กาญจนบุรี,"15.14464, 98.4574576",15.1446184,98.4573251,6,"15.14464, 98.4574576"
เลคเทอเรซ รีสอร์ท,Lake Terrace Resort,รีสอร์ท,58,,2500,1200,,ภาคใต้,ปากน้ำ,ละงู,สตูล,"6.8397864, 99.7517599",6.8395579,99.7513653,,"6.8397864, 99.7517599"
เซ็นทรัลเพลส,Central Place Hotel,โรงแรม,94,,3000,1000,เอกชัย,ภาคกลาง,มหาชัย,เมืองสมุทรสาคร,สมุทรสาคร,"13.5457115, 100.2608613",13.5457163,100.2608679,,"13.5457115, 100.2608613"
บ้านแพ้ว,Baan Paew,โรงแรม,10,,500,220,บ้านแพ้ว พระประโทน,ภาคกลาง,บ้านแพ้ว,บ้านแพ้ว,สมุทรสาคร,"13.6188273, 100.0983147",13.6188273,100.0983147,,"13.6188273, 100.0983147"
ออร์คิด,Orchid Hotel,โรงแรม,52,,440,360,พระราม 2,ภาคกลาง,ท่าจีน,เมืองสมุทรสาคร,สมุทรสาคร,"13.551633, 100.261559",13.5515042,100.2615241,,"13.551633, 100.261559"
นาวาพนมเกสท์เฮ้าส์,Navapanom Guesthouse,เกสท์เฮ้าส์,12,,350,350,สุวรรณศร,ภาคตะวันออก,อรัญประเทศ,อรัญประเทศ,สระแก้ว,"13.6733236, 102.531259",13.6735882,102.531127,,"13.6733236, 102.531259"
เกรทอินน์,Great Inn Hotel,บังกะโล,40,,500,300,เทศบาล7,ภาคตะวันออก,สระแก้ว,เมืองสระแก้ว,สระแก้ว,"13.8278995, 102.0643443",13.8278995,102.0643443,,"13.8278995, 102.0643443"
พุทธรักษา บังกะโล,Buddharuksa Bungalow,บังกะโล,10,,300,250,สุวรรณศร,ภาคตะวันออก,วัฒนานคร,วัฒนานคร,สระแก้ว,"13.7587213, 102.3290405",13.7589588,102.3294221,,"13.7587213, 102.3290405"
เรือนแก้ว  รีสอร์ท,Ruenkeaw Resort,บังกะโล,20,,400,300,เทศบาล 18,ภาคตะวันออก,สระแก้ว,เมืองสระแก้ว,สระแก้ว,"13.8102502, 102.0777206",13.8102502,102.0777206,,"13.8102502, 102.0777206"
เบสท์เฮ้าส์ รีสอร์ท,Best House Resort,รีสอร์ท,20,,1200,550,ละงู ปากบารา,ภาคใต้,ปากน้ำ,ละงู,สตูล,"6.8586294, 99.7232912",6.8586294,99.7232912,,"6.8586294, 99.7232912"
รอยัล เกสท์เฮ้าส์,Royal Guesthouse,เกสท์เฮ้าส์,16,,390,390,ยนตรการกำธร,ภาคใต้,คลองขุด,เมืองสตูล,สตูล,"6.6336865, 100.0702749",6.6336974,100.0702664,,"6.6336865, 100.0702749"
ไทยอบอุ่นเฮ้าส์,Thai Op Oun,โรงแรม,15,,450,400,ราษฎร์อุทิศ,ภาคใต้,พิมาน,เมืองสตูล,สตูล,"6.611025799999999, 100.0712351",6.6110258,100.0712351,,"6.611025799999999, 100.0712351"
วังประภารีสอร์ท,Wangpraparesort,รีสอร์ท,36,,1600,500,วังปลาตอง,ภาคตะวันออก,อรัญประเทศ,อรัญประเทศ,สระแก้ว,"13.676887, 102.508685",13.676887,102.508685,,"13.676887, 102.508685"
ศรีกิจ  บ้านสวนรีสอร์ท,Srikij Resort,รีสอร์ท,24,,800,800,เทศบาล 14,ภาคตะวันออก,สระแก้ว,เมืองสระแก้ว,สระแก้ว,"13.803798, 102.068739",13.8016194,102.0691602,,"13.803798, 102.068739"
