Type-TH,Type-EN,SubType-TH,SubType-EN,Attraction-name TH,Attraction-name EN,Organization-Unit-TH,Organization-Unit-EN,Latitude,Longtiude,Open-Houre,Facility,Contact,Province,District,Subdistrict,,พิกัด
สวนพฤกษศาสตร์,Botanical Garden, -, -,สวนพฤกษศาสตร์วังน้ำเย็น ,Wang Nam Yen Botanical Garden,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,13.497,102.015,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.), -บ้านพัก ห้องประชุม,089-811-031,สระแก้ว,วังน้ำเย็น,ทุ่งมหาเจริญ,,"13.497, 102.015"
สวนพฤกษศาสตร์,Botanical Garden, -, -,สวนพฤกษศาสตร์พุแค ,Phu Khae Botanical Garden,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,14.6712,100.8846,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.), -บ้านพัก ห้องประชุม,036-347-457,สระบุรี,เฉลิมพระเกียรติ,พุแค,,"14.6712, 100.8846"
สวนพฤกษศาสตร์,Botanical Garden, -, -,สวนพฤกษศาสตร์บ้านเพ ,Ban Phe Botanical Garden,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,12.6335,101.4586,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.), -บ้านพัก ห้องประชุม,038-653-022,ระยอง,เมืองระยอง,แกลง,,"12.6335, 101.4586"
สวนพฤกษศาสตร์,Botanical Garden, -, -,สวนพฤกษศาสตร์เขาหินซ้อน,Khao Hin Son Botanical Garden,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,13.7526,101.5064,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.), -บ้านพัก ห้องประชุม,"038-599-113, 038-554-920",ฉะเชิงเทรา,พนมสารคาม,เขาหินซ้อน,,"13.7526, 101.5064"
สวนพฤกษศาสตร์,Botanical Garden, -, -,สวนพฤกษศาสตร์เขาช่อง ,Khao Chong Botanical Garden,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,7.5577,99.7761,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.), -บ้านพัก ห้องประชุม,075-573-521,ตรัง,นาโยง,นาโยง,,"7.5577, 99.7761"
สวนพฤกษศาสตร์,Botanical Garden, -, -,สวนพฤกษศาสตร์ทุ่งค่าย ,Thung Khai Botanical Garden,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,7.4703,99.6401,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.), -บ้านพัก ห้องประชุม,075-280-166,ตรัง,ย่านตาขาว,ย่านตาขาว,,"7.4703, 99.6401"
สวนพฤกษศาสตร์,Botanical Garden, -, -,สวนพฤกษศาสตร์พนางตุง ,Phanang Tung Botanical Garden,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,7.7335,100.1511,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.), -,074-651-187,พัทลุง,ควนขนุน,พนางตุง,,"7.7335, 100.1511"
สวนพฤกษศาสตร์,Botanical Garden, -, -,สวนพฤกษศาสตร์ชายแดนภาคใต้,Southern Boundary Botanical Garden,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,6.649,101.8659,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.), -,073-336-290-3,นราธิวาส,เมือง,กะลุวอ,,"6.649, 101.8659"
สวนพฤกษศาสตร์,Botanical Garden, -, -,สวนพฤกษศาสตร์ดงฟ้าห่วน ,Dong Fa Huan Botanical Garden,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,15.3053,104.7988,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.), -บ้านพัก ห้องประชุม,088-595-1252,อุบลราชธานี,เมือง,ขามใหญ่,,"15.3053, 104.7988"
สวนพฤกษศาสตร์,Botanical Garden, -, -,สวนพฤกษศาสตร์สกุโณทยาน ,Sakunothayan Botanical Garden ,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,16.836,100.5347,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.), -,085-731-1200,พิษณุโลก,วังทอง,วังนกแอ่น,,"16.836, 100.5347"
สวนพฤกษศาสตร์วรรณคดี,Botanical Garden for Plants in Thai Literary, -, -,สวนพฤกษศาสตร์วรรณคดีบ้านจอมบึง,Ban Chom Bueng Botanical Garden for Plants in Thai Literary,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,13.61,99.671,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.), -บ้านพัก ห้องประชุม,081-866-9338,ราชบุรี,จอมบึง,ปากช่อง,,"13.61, 99.671"
สวนพฤกษศาสตร์วรรณคดี,Botanical Garden for Plants in Thai Literary, -, -,สวนพฤกษศาสตร์วรรณคดีควนเขาวัง,Kuankhaowang Botanical Garden for Plants in Thai Literary,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,7.0223,100.2915,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.), -บ้านพัก ห้องประชุม,074-323-306,สงขลา,หาดใหญ่,ฉลุง,,"7.0223, 100.2915"
สวนพฤกษศาสตร์วรรณคดี,Botanical Garden for Plants in Thai Literary, -, -,สวนพฤกษศาสตร์วรรณคดีดงมะอี่ ,Dong Ma Ei Botanical Garden for Plants in Thai Literary,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,16.395,104.31,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.), -,043-343-411-2,ร้อยเอ็ด,หนองพอก,บึงงาม,,"16.395, 104.31"
สวนพฤกษศาสตร์วรรณคดี,Botanical Garden for Plants in Thai Literary, -, -,สวนพฤกษศาสตร์วรรณคดีแม่เหี๊ยะ ,Mae Hia Botanical Garden for Plants in Thai Literary,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,18.743,98.923,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.), -,053-276-100,เชียงใหม่,หางดง,หนองควาย,,"18.743, 98.923"
สวนรวมพรรณไม้ป่า,Garden for Wild Plant Collections, -, -,สวนรวมพรรณไม้ป่า 60 พรรษา มหาราชินี ภาคกลาง ,Her Majesty the Queen's 60th Birthday Anniversary Garden for Wild Plant Collections Central,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,13.606,99.663,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.), -,053-276-100,ราชบุรี,เมือง,หินกอง,,"13.606, 99.663"
สวนรวมพรรณไม้ป่า,Garden for Wild Plant Collections, -, -,สวนรวมพรรณไม้ป่า 60 พรรษา มหาราชินี ภาคใต้,Her Majesty the Queen's 60th Birthday Anniversary Garden for Wild Plant Collections Peninasular,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,6.1218,101.925,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.), -,081-698-0562,นราธิวาส,สุไหงปาดี,สุไหงปาดี,,"6.1218, 101.925"
สวนรวมพรรณไม้ป่า,Garden for Wild Plant Collections, -, -,สวนรวมพรรณไม้ป่า 60 พรรษา มหาราชินี ภาคตะวันออกเฉียงเหนือ ,Her Majesty the Queen's 60th Birthday Anniversary Garden for Wild Plant Collections Northeastern,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,17.161,102.7006,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.), -บ้านพัก ห้องประชุม,042-221-725 ต่อ 400,อุดรธานี,หนองแสง,ทับกุง,,"17.161, 102.7006"
สวนรวมพรรณไม้ป่า,Garden for Wild Plant Collections, -, -,สวนรวมพรรณไม้ป่า 60 พรรษา มหาราชินี ภาคเหนือ,Her Majesty the Queen's 60th Birthday Anniversary Garden for Wild Plant Collections Northern,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Research Office,18.741,98.912,ทุกวัน (เวลาราชการ 8.30 น. -16.30 น.), -,053-276-100 ต่อ 33,เชียงใหม่,หางดง,หนองควาย,,"18.741, 98.912"
สวนรุกขชาติ,Arboretum,สวนรุกขชาติเขาฉกรรจ์,Khao Cha Kun Arboretum,สวนรุกขชาติเขาฉกรรจ์,Khao Cha Kun Arboretum,สำนักวิจัยการอนุรักษ์ป่าไม้และพันธุ์พืช,Forest and Plant Conservation Reseach Office,13.660666,102.081034,08.00 - 16.00 น.,ซุ้มนั่งพักผ่อน 15 ซุ้ม และห้องน้ำห้องสุขา 4 หลัง,อ.เขาฉกรรจ์ จ.สระแก้ว 27000  E-mail : p_potkan@hotmail.com Tel: 083-1125137,สระแก้ว,เขาฉกรรจ์,เขาฉกรรจ์,,"13.660666, 102.081034"
